0x1f5b	0x2034
0x20b8	0x20f8
0x3dc2	0x3e93
0x3dc2	0x3f61
0x40ba	0x4111
0x4ed0x4c1	0x5050x4c1
0x4ed0xbcb	0x5050xbcb
0x4ed0xdc7	0x5050xdc7
0x4ed0xe1b	0x5050xe1b
0x4ed0xe8c	0x5050xe8c
