0x10db
0x1449
0x19d2
0x1a77
0x1ae9
0x1be5
0x1cbe
0x1d44
0x2427
0x2648
0x2b10
0x2bad
0x2cea
0x2f0b
0x30a8
0x3436
0x3848
0x3882
0x3b95
0x3c4b
0x3d41
0x407a
0x4558
0x4714
0x4c9c
0x4d87
