0x0	__function_selector__
0x4a5	isComptroller()
0x4c1	getDflMarketPercentages()
0x519	_setBorrowPaused(address,bool)
0x547	_become(address)
0x56f	repayBorrowVerify(address,address,address,uint256,uint256)
0x5b1	borrowCapGuardian()
0x5d5	repayBorrowAllowed(address,address,address,uint256)
0x623	enterMarket(address,address)
0x651	pauseGuardian()
0x659	pendingAdmin()
0x661	dflInitialSpeed()
0x669	dflNextHalveBlock()
0x671	_setSeizePaused(bool)
0x690	_setCloseFactor(uint256)
0x6ad	dflStartBlock()
0x6b5	asset()
0x6bd	_setBorrowCapGuardian(address)
0x6e3	_setMintPaused(address,bool)
0x711	_mintGuardianPaused()
0x719	mintVerify(address,address,uint256,uint256)
0x755	getBlockNumber()
0x75d	liquidateBorrowVerify(address,address,address,address,uint256,uint256)
0x7a9	borrowCaps(address)
0x7cf	liquidationIncentiveMantissa()
0x7d7	getHypotheticalAccountLiquidity(address,address,uint256,uint256)
0x831	mintAllowed(address,address,uint256)
0x867	_setLiquidationIncentive(uint256)
0x884	_setDflCurrentSpeed()
0x88c	redeemVerify(address,address,uint256,uint256)
0x8c8	allMarkets(uint256)
0x8e5	_setPriceOracle(address)
0x90b	dflSupplyIndex(address)
0x931	dflCurrentSpeed()
0x939	borrowVerify(address,address,uint256)
0x96f	getAccountLiquidity(address)
0x995	_setPauseGuardian(address)
0x9bb	liquidateBorrowAllowed(address,address,address,address,uint256)
0xa01	_setMarketBorrowCaps(address[],uint256[])
0xabf	transferVerify(address,address,address,uint256)
0xafb	accruedStored(address)
0xb21	borrowGuardianPaused(address)
0xb47	seizeVerify(address,address,address,address,uint256)
0xb8d	dflKeeperFactorMantissa()
0xb95	mintGuardianPaused(address)
0xbbb	oracle()
0xbc3	transferGuardianPaused()
0xbcb	getAccountAssets(address)
0xbf1	dflSupplierIndex(address,address)
0xc1f	dflInitialIndex()
0xc43	markets(address)
0xc84	_setTransferPaused(bool)
0xca3	dflKeeper()
0xcab	checkMembership(address,address)
0xcd9	maxAssets()
0xce1	_setDflKeeper(address)
0xd07	_setDflMarketPercentages(uint256[])
0xd75	_supportMarket(address)
0xd9b	claim(address,uint256)
0xdc7	getAssetsIn(address)
0xded	seizeGuardianPaused()
0xdf5	dflAccrued(address)
0xe1b	getAllMarkets()
0xe23	dflMarketPercentages(uint256)
0xe40	dflAddress()
0xe48	comptrollerImplementation()
0xe50	transferAllowed(address,address,address,uint256)
0xe8c	enterMarkets(address[])
0xefa	dflAccrualBlock()
0xf02	liquidateCalculateSeizeTokens(address,address,uint256)
0xf51	seizeAllowed(address,address,address,address,uint256)
0xf97	borrowAllowed(address,address,uint256)
0xfcd	accountAssets(address,uint256)
0xff9	pendingComptrollerImplementation()
0x1001	dflHalvePeriod()
0x1009	_setCollateralFactor(address,uint256)
0x1035	_borrowGuardianPaused()
0x103d	closeFactorMantissa()
0x1045	claimDFL()
0x104d	redeemAllowed(address,address,uint256)
0x1083	exitMarket(address)
0x10a9	_setDflKeeperFactor(uint256)
0x10c6	admin()
0x10ce	accrue()
0x10db	0x10db
0x1134	0x1134
0x12d4	0x12d4
0x1449	0x1449
0x147d	0x147d
0x151a	0x151a
0x1974	0x1974
0x1978	0x1978
0x1998	0x1998
0x19d2	0x19d2
0x1a77	0x1a77
0x1ae9	0x1ae9
0x1b6a	0x1b6a
0x1be5	0x1be5
0x1c89	0x1c89
0x1cbe	0x1cbe
0x1d44	0x1d44
0x203d	0x203d
0x2150	0x2150
0x2427	0x2427
0x2648	0x2648
0x2a65	0x2a65
0x2b10	0x2b10
0x2bad	0x2bad
0x2cea	0x2cea
0x2f0b	0x2f0b
0x30a8	0x30a8
0x3436	0x3436
0x3848	0x3848
0x3882	0x3882
0x3b95	0x3b95
0x3c33	0x3c33
0x3c4b	0x3c4b
0x3d41	0x3d41
0x407a	0x407a
0x4118	0x4118
0x41d4	0x41d4
0x423a	0x423a
0x425a	0x425a
0x43bf	0x43bf
0x451e	0x451e
0x4558	0x4558
0x4604	0x4604
0x4686	0x4686
0x46ec	0x46ec
0x4714	0x4714
0x4a5d	0x4a5d
0x4a7e	0x4a7e
0x4ae1	0x4ae1
0x4bcd	0x4bcd
0x4c0f	0x4c0f
0x4c9c	0x4c9c
0x4d74	0x4d74
0x4d87	0x4d87
0x4e15	0x4e15
0x4e1b	0x4e1b
0x9eba	()
0x9eba	fallback()
0x8c1fb	0x8c1fb
0x8c50e	0x8c50e
0x8c7b7	0x8c7b7
0x8c8bc	0x8c8bc
0x8c966	0x8c966
