0xd1
0x128
0x17f
0x214
0x33c
0x37d
0x400
0x570
0x68b
0x6d4
0x764
0x77b
0x9d4
0xb7b
0xda1
0x1453
0x1466
0x1543
0x1628
0x179a
0x17a3
0x17f4
0x17fd
0x18e6
0x18eb
0x2137
0x221c
0x2bd5
0x2bfb
