0x89e
0x89f
0x8a0
0x8a1
0x8a2
0x1049
0x104a
0x104b
0x104c
0x104d
0x104e
0x104f
0x1050
0x1051
0x1053
0x1054
0x1055
0x1056
0x1057
0x1058
0x221e
0x221f
0x2220
0x2221
0x2222
0x2223
0x2224
0x2225
0x2226
0x2808
0x2809
0x280a
0x280b
0x280c
0x280d
