0x0	__function_selector__
0xba	()
0xba	fallback()
0xbc	getCreator()
0x113	getTotalBalance()
0x13e	isEntity(address)
0x199	substring(string,uint256,uint256)
0x28f	check_result(string,string)
0x352	entityList(uint256)
0x3bf	entityStructs(address)
0x52f	addressToString(address)
0x5eb	PlayFiveChain(string,string)
0x6a5	blockhashToString(bytes32)
0x74f	resetGame()
0x766	totalwin()
0x7d9	0x7d9
0x8a3	0x8a3
0x9a4	0x9a4
0x1059	0x1059
0x1409	0x1409
0x2227	0x2227
0x25be	0x25be
0x2b59	0x2b59
0x2bd9	0x2bd9
0x2bdf	0x2bdf
