0x10e	0x420
0xc72	0x1032
0x47a	0x1b138
0x47a	0x1b15c
0x47a	0x1b180
0x106b	0x1b212
0x115b	0x2f0b3
0x12bb	0x2f11f
0x12d2	0x2f146
0x47a	0x2f16d
0x106b	0x2f1b6
0x10e7	0x2f1db
0x1045	0x1b1ee0x1045
