0x0	__function_selector__
0x13c	name()
0x1bf	approve(address,uint256)
0x225	totalSupply()
0x267	DOMAIN_TYPEHASH()
0x285	transferFrom(address,address,uint256)
0x30b	decimals()
0x32f	burn(uint256)
0x375	delegates(address)
0x3f9	delegate(address)
0x43d	numCheckpoints(address)
0x4a1	balanceOf(address)
0x4f9	getPriorVotes(address,uint256)
0x57f	burnFrom(address,uint256)
0x5e5	nonces(address)
0x63d	symbol()
0x6c0	transfer(address,uint256)
0x726	getCurrentVotes(address)
0x7a2	delegateBySig(address,uint256,uint256,uint8,bytes32,bytes32)
0x81b	allowance(address,address)
0x8b7	DELEGATION_TYPEHASH()
0x8d5	checkpoints(address,uint32)
0xfa3	0xfa3
0x104a	0x104a
0x16d6	0x16d6
0x17c8	0x17c8
0x1bd0	0x1bd0
0x1cec	0x1cec
0x1db3	0x1db3
0x1e91	0x1e91
0x22c8	0x22c8
0x2607	0x2607
0x27d8	0x27d8
0x28bb	0x28bb
0x2bc2	0x2bc2
0x2ef3	0x2ef3
0x656c	()
0x656c	fallback()
