0xe8	0x5d2035b
0x10f	0x6fdde03
0x19a	0x95ea7b3
0x1d0	0x18160ddd
0x1f5	0x23b872dd
0x231	0x313ce567
0x256	0x40c10f19
0x28c	0x66188463
0x2c2	0x70a08231
0x2f3	0x7d64bcb4
0x31a	0x8da5cb5b
0x349	0x95d89b41
0x3d4	0xa9059cbb
0x40a	0xd73dd623
0x440	0xdd62ed3e
0x477	0xf2fde38b
