0x0	__function_selector__
0xe8	mintingFinished()
0x10f	name()
0x19a	approve(address,uint256)
0x1d0	totalSupply()
0x1f5	transferFrom(address,address,uint256)
0x231	decimals()
0x256	mint(address,uint256)
0x28c	decreaseApproval(address,uint256)
0x2c2	balanceOf(address)
0x2f3	finishMinting()
0x31a	owner()
0x349	symbol()
0x3d4	transfer(address,uint256)
0x40a	increaseApproval(address,uint256)
0x440	allowance(address,address)
0x477	transferOwnership(address)
0x4b9	0x4b9
0x557	0x557
0x604	0x604
0x71c	0x71c
0x83d	0x83d
0x939	0x939
0x958	0x958
0x9ee	0x9ee
0xa8c	0xa8c
0xb4c	0xb4c
0xbf1	0xbf1
0xc1e	0xc1e
0xc7b	0xc7b
0xc92	0xc92
