0xeb
0x140
0x263
0x293
0x387
0x3a1
0x3dd
0x40d
0x495
0x5d8
0x8c0
0x9d5
0xb0e
0xb43
0xb7c
0xb96
0xc93
0xca9
0xeb9
0xef2
0xf0c
0x1009
0x1133
0x1267
0x1287
