0xeb	0x00000000
0xf8	0x1905fbf6
0x134	0x1c624d19
0x179	0x2a11ced0
0x1df	0x4042b66f
0x20b	0x521eb273
0x263	0x71a8270a
0x293	0x8832243a
0x29f	0x8ac27f5f
0x2cb	0x8da5cb5b
0x323	0xaf3f12bc
0x37b	0xd06f887b
0x3a1	0xec8ac4d8
0x3d1	0xecb70fb7
0x401	0xf2fde38b
0x43d	0xfc0c546a
