0x0	__function_selector__
0xeb	()
0xeb	fallback()
0xf8	setNewWallet(address)
0x134	mintObizcoinTokens(address,uint256)
0x179	holders(uint256)
0x1df	weiRaised()
0x20b	wallet()
0x263	buyObizcoinTokens(address)
0x293	profitSharing()
0x29f	investors()
0x2cb	owner()
0x323	profitSharingContract()
0x37b	destroyMyToken(uint256)
0x3a1	buyTokens(address)
0x3d1	hasEnded()
0x401	transferOwnership(address)
0x43d	token()
0x495	0x495
0x57c	0x57c
0x682	0x682
0x979	0x979
0xace	0xace
0xd2c	0xd2c
0xd60	0xd60
0xe5d	0xe5d
0x1098	0x1098
0x10bf	0x10bf
0x10de	0x10de
0x11f3	0x11f3
0x1258	0x1258
0x1287	0x1287
0x128e	0x128e
