0x0	__function_selector__
0xef	name()
0x16c	approve(address,uint256)
0x1ac	totalSupply()
0x1c6	debasePolicy()
0x1ea	transferFrom(address,address,uint256)
0x220	decimals()
0x23e	increaseAllowance(address,uint256)
0x26a	balanceOf(address)
0x290	rebase(uint256,int256)
0x2b3	initialize(address,uint256,address,uint256,address,uint256,address,uint256)
0x30c	symbol()
0x314	decreaseAllowance(address,uint256)
0x340	transfer(address,uint256)
0x36c	allowance(address,address)
0x39a	0x39a
0x430	0x430
0x69b	0x69b
0x6c9	0x6c9
0x79f	0x79f
0x7f2	0x7f2
0xb12	0xb12
0xd73	0xd73
0xdbc	0xdbc
0xe15	0xe15
0xe6f	0xe6f
0xeb1	0xeb1
0x21a8	()
0x21a8	fallback()
