0xf7
0xf8
0xfa
0xfb
0xfc
0xfe
0xff
0x100
0x101
0x102
0x103
0x104
0x105
0x106
0x107
0x108
0x109
0x10a
0x10b
0x10c
0x10d
0x10e
0x10f
0x110
0x111
0x112
0x113
0x114
0x115
0x116
0x117
0x198
0x199
0x19b
0x19c
0x19d
0x19e
0x19f
0x1a0
0x1a1
0x1a2
0x1a3
0x1a4
0x1a5
0x1a6
0x1a7
0x1a9
0x1aa
0x1ab
0x1b4
0x1b5
0x1b7
0x1b8
0x1b9
0x1ba
0x1bb
0x1bc
0x1bd
0x1be
0x1bf
0x1c0
0x1c1
0x1c3
0x1c4
0x1c5
0x426
0x427
0x428
0x429
0x42a
0x42b
0x42c
0x42d
0x42e
0x42f
0x491
0x492
0x493
0x494
0x495
0x496
0x8a0
0x8a1
0x8a2
0x8a7
0x8aa
0x8ab
0x90f
0x910
0x911
0x916
0x919
0x91a
0xb07
0xb08
0xb09
0xb0a
0xb0b
0xb0c
0xb0d
0xb0e
0xb0f
0xb10
0xb11
0xdb5
0xdb6
0xdb7
0xdb8
0xdb9
0xdba
0xdbb
0x10a0
0x10be
0x10c3
0x4450
0x4470
