0x6adS0x171	$Variable($Mapping($Mapping($Constant(0x9))))	$VariableWrite(0x198)
0xb24S0x4ea	$Variable($Mapping($Constant(0x7)))	$VariableWrite(0xb1eV0x4ea)
0xb71S0x4ea	$Variable($Mapping($Constant(0x7)))	$VariableWrite(0xb6bV0x4ea)
