0xd2	0xd3
0x62b	0x6b3
0x866	0x939
0x9ff	0xbd8
0x58d	0x24d1c
0x58d	0x24d43
0x712	0x24d6a
0x712	0x24d91
0x7b0	0x24db8
0x7b0	0x24ddf
0x961	0x24e06
0x961	0x24e2d
0x58d	0x24e54
0x712	0x24e7b
0x7b0	0x24ea2
0x961	0x24ec9
