0x0	0xd
0xd	0x27
0x3b12	0x3ba8
0xa0	0xab
0x9ad	0x9c5
0xa81	0xa94
0xc0d	0xc20
0x1100	0x1113
0x1549	0x155c
0x15fa	0x164b
0x1690	0x16a3
0x19d7	0x19ea
0x1a8f	0x1aa3
0x2b06	0x2b19
0x2bb0	0x2bc3
0x314f	0x31be
0x35ab	0x35be
0x9d7	0xa50
0xa54	0xa5f
0xc71	0xc82
0x156e	0x1587
0x164f	0x165a
0x1663	0x1675
0x1af4	0x1b01
0x1b76	0x1b87
0x27	0x32
0x31c2	0x31cd
0x31d6	0x31e8
0x35d0	0x35e9
0x3a17	0x3a22
0x3a2b	0x3a3d
0x3a41	0x3aa4
0x3aa8	0x3ab3
0x3abc	0x3ace
0x3ad2	0x3aea
0x3b0c	0x3b12
0x3bac	0x3bb7
0x3bc0	0x3bd2
0x43d6	0x43e9
0x4438	0x444a
0x44bf	0x44d6
0x454b	0x45aa
0x45ae	0x45fc
0x4600	0x460b
0x4614	0x4677
0x467b	0x46c9
0x46cd	0x46d8
0x3c10	0x3d03
0x210	0x218
0x29a	0x2a2
0x2d2	0x2da
0x2f5	0x2fd
0x31c	0x324
0x331	0x339
0x352	0x35a
0x373	0x37b
0x39d	0x3a5
0x3c8	0x3d0
0x3dd	0x3e5
0x44c	0x454
0x47d	0x485
0x492	0x49a
0x4b3	0x4bb
0x4d4	0x4dc
0x4e9	0x4f1
0x4fe	0x506
0x513	0x51b
0x537	0x53f
0x54c	0x554
0x561	0x569
0x582	0x58a
0x597	0x59f
0x5bb	0x5c3
0x5dc	0x5e4
0x5f1	0x5f9
0x615	0x61d
0x635	0x63d
0x6a4	0x6ac
0x6b9	0x6c1
0x722	0x72a
0x737	0x73f
0x758	0x760
0x76d	0x775
0x7d6	0x7de
0x7eb	0x7f3
0x80f	0x817
0x841	0x849
0x868	0x870
0x892	0x89a
0x8a7	0x8af
0x8d1	0x8d9
0x8e6	0x8ee
0x8fe	0x906
0x3bf7	0x3c050x3bf7
0x39aa	0x39b60x39aa
0xe2	0xed
0x39c1	0x3a13
0x3e52	0x3f1d
0x4006	0x40d1
0x32	0x3d
0x3d	0x48
0x48	0x53
0x53	0x5e
0x5e	0x69
0x69	0x74
0x74	0x7f
0x7f	0x8a
0x8a	0x95
0x95	0xa0
0xab	0xb6
0xb6	0xc1
0xc1	0xcc
0xcc	0xd7
0xd7	0xe2
0xed	0xf8
0xf8	0x103
0x103	0x10e
0x10e	0x119
0x119	0x124
0x124	0x12f
0x12f	0x13a
0x13a	0x145
0x145	0x150
0x150	0x15b
0x15b	0x166
0x166	0x171
0x171	0x17c
0x17c	0x187
0x187	0x192
0x192	0x19d
0x19d	0x1a8
0x1a8	0x1b3
0x1b3	0x1be
0x1be	0x1c9
0x1c9	0x1d4
0x1d4	0x1df
0x1df	0x1ea
0x1ea	0x1f5
0x1f5	0x200
0x200	0xbf9c6
0x3e3e0x3d12	0x3e490x3d12
0x3e3e0x3e52	0x3e490x3e52
0x3e3e0x4006	0x3e490x4006
0x3e1a0x3d12	0x3e3a0x3d12
0x3e1a0x3e52	0x3e3a0x3e52
0x3e1a0x4006	0x3e3a0x4006
0x3ded0x3d12	0x3e010x3d12
0x3ded0x3e52	0x3e010x3e52
0x3ded0x4006	0x3e010x4006
0x3dd50x3d12	0x3dde0x3d12
0x3dd50x3e52	0x3dde0x3e52
0x3dd50x4006	0x3dde0x4006
0x3bf70x39c1	0x3c050x39c1
0x39aa0x39c1	0x39b60x39c1
0x38460x3c10	0x38510x3c10
0x38220x3c10	0x38420x3c10
0x37f50x3c10	0x38090x3c10
0x37dd0x3c10	0x37e60x3c10
