0xb4	0x00000000
0xb9	0x6fdde03
0x149	0x95ea7b3
0x1bc	0x18160ddd
0x1e7	0x23b872dd
0x27a	0x313ce567
0x2ab	0x70a08231
0x310	0x95d89b41
0x3a0	0xa9059cbb
0x413	0xaf17dea6
0x4a3	0xdd62ed3e
0x528	0xe2b9e186
0x5b8	0xf785ef72
