0x7	0xe4
0xe6	0xed
0xf3	0xfb
0xfc	0x103
0xff	0x6e9
0x12d	0x144
0x140	0x128
0x154	0x171
0x182	0x18a
0x18b	0x1bf
0x1dc	0x1e4
0x1e5	0x1ec
0x1e8	0x815
0x205	0x20d
0x20e	0x215
0x21a	0x222
0x223	0x276
0x293	0x29b
0x29c	0x2a3
0x29f	0xc50
0x2bc	0x2c4
0x2c5	0x2cc
0x2c8	0xc55
0x2e5	0x2ed
0x2ee	0x2f5
0x2f1	0xc5b
0x30e	0x316
0x317	0x31e
0x31a	0xc61
0x337	0x33f
0x340	0x36b
0x384	0x38c
0x38d	0x394
0x390	0xcb1
0x3d9	0x3e1
0x3e2	0x3e9
0x402	0x40a
0x40b	0x412
0x43c	0x453
0x44f	0x437
0x463	0x480
0x491	0x499
0x49a	0x4ce
0x4e9	0x4f0
0x4f5	0x4fd
0x4fe	0x548
0x569	0x571
0x572	0x588
0x58b	0x59f
0x5a2	0x5bc
0x5bf	0x5d3
0x5de	0x5e6
0x5e7	0x638
0x6dc	0x6e4
0x100b	0x101e
0x1016	0x101b
0x1021	0x1026
0x103a	0x103f
0x105c	0x1061
0x1075	0x107a
0x2182	0xe5
0x2b82	0xee
0x3582	0x128
0x3f82	0x139
0x4982	0x171
0x5382	0x437
0x5d82	0x448
0x6782	0x480
0x7182	0x6e5
0xf382	0x101e
0xfd82	0x102a
0x10782	0x1046
0x11182	0x1065
0x11b82	0x1080
0x46f92	0x5a592
0x47992	0x50f92
0x48392	0x51992
0x48d92	0x52392
0x49792	0x52d92
0x4a192	0x53792
0x4ab92	0x54192
0x4b592	0x54b92
0x4bf92	0x55592
0x4c992	0x55f92
0x4d392	0x56992
0x4dd92	0x57392
0x4e792	0x57d92
0x4f192	0x58792
0x4fb92	0x59192
0x50592	0x59b92
0x7b82V0x18a	0x80fB0x18a
0x8a3V0x20d	0x8b9B0x20d
0x8582V0x20d	0x8c0B0x20d
0x947V0x222	0x98fB0x222
0x992V0x222	0x99bB0x222
0x99eV0x222	0x9a6B0x222
0x9a7V0x222	0x9f8B0x222
0xa3cV0x222	0xa8dB0x222
0xad1V0x222	0xb5fB0x222
0xa382V0x222	0xc49B0x222
0x8f82V0x222	0x98fB0x222
0x9982V0x222	0x99bB0x222
0xad82V0x33f	0xcacB0x33f
0xb782V0x3e1	0xcdeB0x3e1
0xd48V0x40a	0x2378bB0x40a
0xd2dV0x40a	0x23764B0x40a
0xc182V0x40a	0xd5aB0x40a
0xd6aV0x40a	0xd5aB0x40a
0xd35V0x40a	0xd4cB0x40a
0xcb82V0x40a	0x237b2B0x40a
0xdc7V0x499	0xdd0B0x499
0xdd3V0x499	0xddbB0x499
0xddcV0x499	0xe2dB0x499
0xe71V0x499	0xec2B0x499
0xdf82V0x499	0xf6fB0x499
0xd582V0x499	0xdd0B0x499
0xe982V0x4fd	0xff7B0x4fd
