0x0	__function_selector__
0xf0	name()
0x17f	approve(address,uint256)
0x1d9	TOKEN_TO_CREATOR()
0x202	ItlyCoin()
0x217	transferFrom(address,address,uint256)
0x290	decimals()
0x2b9	MAX_SUPPLY()
0x2e2	_totalSupply()
0x30b	RATE()
0x334	balanceOf(address)
0x381	owner()
0x3d6	TOTALSUPPLY()
0x3ff	symbol()
0x48e	transfer(address,uint256)
0x4e8	createTokens()
0x4f2	allowance(address,address)
0x55e	0x55e
0x722	0x722
0x81b	0x81b
0x8c2	0x8c2
0xc67	0xc67
0xcd7	0xcd7
0xce1	0xce1
0xd7f	0xd7f
0xf75	0xf75
0xffd	0xffd
0x1031	0x1031
0x104d	0x104d
0x106c	0x106c
