0x67a	0x677	0x637_0x0
0x681	0x67d	0x5d2_0x0
0x7a4S0x18a	0x7a1V0x18a	0x1b1
0x85bS0x20d	0x81dV0x20d	0x859V0x20d
0x8a1S0x20d	0x89eV0x20d	0x85fV0x20d
0x8beS0x20d	0x8baV0x20d	0x8b8_0x0V0x20d
0xa3aS0x222	0xa37V0x222	0x9f7_0x0V0x222
0xacfS0x222	0xaccV0x222	0xa8c_0x0V0x222
0xbdeS0x222	0xbdbV0x222	0xb5e_0x0V0x222
0xe6fS0x499	0xe6cV0x499	0xe2c_0x0V0x499
0xf04S0x499	0xf01V0x499	0xec1_0x0V0x499
