0x0	__function_selector__
0x28d	setTaxFeePercent(uint256)
0x2af	name()
0x2da	approve(address,uint256)
0x30a	totalFees()
0x329	uniswapV2Router()
0x367	totalSupply()
0x37c	setBaseAmount(uint256)
0x39c	transferFrom(address,address,uint256)
0x3bc	deadAddress()
0x3f0	setBuyBackEnabled(bool)
0x410	tokenFromReflection(uint256)
0x430	decimals()
0x452	increaseAllowance(address,uint256)
0x472	_taxFee()
0x488	deliver(uint256)
0x4a8	reflectionFromToken(uint256,bool)
0x4c8	setOperationsAddress(address)
0x4e8	uniswapV2Pair()
0x508	swapAndLiquifyEnabled()
0x529	_baseAmount()
0x53f	isExcludedFromFee(address)
0x578	getTime()
0x58b	getUnlockTime()
0x5a0	buyBackEnabled()
0x5c1	isRemovedSniper(address)
0x5fa	setK(uint256)
0x61a	_liquidityFee()
0x630	balanceOf(address)
0x650	launchTime()
0x666	setBaseLiqFeePercent(uint256)
0x686	initContract()
0x69b	isExcludedFromReward(address)
0x6d4	enableTrading()
0x6e9	owner()
0x707	symbol()
0x71c	_baseLiqFee()
0x732	setMinTrigger(uint256)
0x752	decreaseAllowance(address,uint256)
0x772	unlock()
0x787	transfer(address,uint256)
0x7a7	k()
0x7bd	lock(uint256)
0x7dd	allowance(address,address)
0x823	_minTrigger()
0x839	transferOwnership(address)
0x859	tradingOpen()
0x8d0	0x8d0
0x962	0x962
0xa8b	0xa8b
0xb0f	0xb0f
0xc2f	0xc2f
0xd3d	0xd3d
0x1ea5	0x1ea5
0x1ee3	0x1ee3
0x204a	0x204a
0x21d8	0x21d8
0x22fc	0x22fc
0x2986	0x2986
0x29c0	0x29c0
0x29e3	0x29e3
0x2a25	0x2a25
0x2a84	0x2a84
0x2ad3	0x2ad3
0x2b15	0x2b15
0x2c75	0x2c75
0x2d9a	0x2d9a
0x2f1c	0x2f1c
0x2f4a	0x2f4a
0x2f8c	0x2f8c
0x2fdc	0x2fdc
0x31e5	0x31e5
0x33e6	0x33e6
0x3414	0x3414
0x353a	0x353a
0x35e3	0x35e3
0x3656	0x3656
0x369a	0x369a
0x36b6	0x36b6
0x36d2	0x36d2
0x3706	0x3706
0x378e	0x378e
0x37b2	0x37b2
0x37c7	0x37c7
0x37e4	0x37e4
0x3801	0x3801
0x387b	0x387b
0x38a7	0x38a7
0x38c2	0x38c2
0x38db	0x38db
0x3907	0x3907
0x3980	0x3980
0x39d5	0x39d5
0x3a0a	0x3a0a
0x3a5f	0x3a5f
0x3a77	0x3a77
0x3ac1	0x3ac1
0x3afc	0x3afc
0x3b6d	0x3b6d
0x199f78	0xeeeeeeee
