0x0	0xd
0x60	0x6b
0x3f	0x4a
0xd	0x1e
0x2513	0x2522
0x2522	0x2533
0x2575	0x2584
0x25d0	0x25ea
0x2694	0x26a3
0x26fc	0x2706
0x2706	0x2710
0x2820	0x282b
0x281	0x199f38
0x14f	0x15b
0xc1	0xcd
0x7a	0x86
0x113	0x11f
0x1f3	0x1ff
0x1ac	0x1b8
0x245	0x251
0x878	0x88b
0x979	0x98c
0x383a	0x384b
0xa11	0xa24
0xa8b	0xa98
0xb45	0xb5e
0xcbc	0xccf
0xd0e	0xd21
0xd3d	0xd5f
0xd9c	0xdaf
0xde4	0xdf7
0x1e27	0x1e3a
0x1eb4	0x1ec7
0x1f32	0x1f45
0x2057	0x206a
0x20ee	0x2101
0x8bb	0x8c2
0x3a5f	0x3a6b
0x22fc	0x230b
0x2986	0x2992
0xdd4	0xddb
0xe0e	0xe5c
0xe60	0xe6b
0xe98	0xedc
0xee0	0xeeb
0xf18	0xf5c
0xf60	0xf6b
0x1e	0x29
0x1f98	0x1fa2
0x2118	0x2127
0x223a	0x2249
0x2360	0x236f
0xd8	0xe3
0x23c2	0x23cb
0x2424	0x2446
0x29	0x34
0x2487	0x24a0
0x24e1	0x24fa
0x250d	0x2513
0x2638	0x2650
0x25c4	0x25d0
0x2540	0x2546
0x2558	0x255e
0x2570	0x2575
0x2669	0x2670
0x268e	0x2694
0x27de	0x27f3
0x26ea	0x26fc
0x27ab	0x27b7
0x2714	0x2734
0x2801	0x2808
0x281a	0x2820
0x2929	0x294e
0x2b15	0x2b1d
0x2b94	0x2ba0
0x288b	0x2894
0x289c	0x28b2
0x28b9	0x28bf
0x290e	0x2918
0x2c43	0x2c5d
0x296b	0x2971
0x2c75	0x2c7b
0x3aaa	0x3ab5
0x2a32	0x2a3d
0x3a8b	0x3a9e
0x2b3d	0x2b43
0x3a77	0x3a7f
0x2ba8	0x2bb2
0x2bc7	0x2bcd
0x3afc	0x3b09
0x301e	0x304c
0x31e5	0x3212
0x3220	0x328b
0x2c82	0x2ca5
0x33e6	0x33f1
0x2cc3	0x2cc9
0x2cd8	0x2cfc
0x2d19	0x2d1f
0x2d29	0x2d4c
0x2d69	0x2d6f
0x2d84	0x2d8a
0x2dc9	0x2df5
0x2e34	0x2e3a
0x2e4a	0x2e5d
0x2e90	0x2ea5
0x2da7	0x2db2
0x2efc	0x2f04
0x3053	0x30bd
0x30c1	0x30cc
0x30f9	0x3105
0x21d8	0x21e7
0x3176	0x318c
0x3190	0x319b
0x328f	0x329a
0x32c7	0x32d3
0x32da	0x3307
0x3383	0x3398
0x339c	0x33a7
0x33f6	0x33fc
0x373b	0x3760
0x3ad5	0x3ae1
0x28d	0x295
0x2af	0x2b7
0x2da	0x2e2
0x30a	0x312
0x329	0x331
0x367	0x36f
0x37c	0x384
0x39c	0x3a4
0x3bc	0x3c4
0x3f0	0x3f8
0x410	0x418
0x430	0x438
0x452	0x45a
0x472	0x47a
0x488	0x490
0x4a8	0x4b0
0x4c8	0x4d0
0x4e8	0x4f0
0x508	0x510
0x529	0x531
0x53f	0x547
0x578	0x580
0x58b	0x593
0x5a0	0x5a8
0x5c1	0x5c9
0x5fa	0x602
0x61a	0x622
0x630	0x638
0x650	0x658
0x666	0x66e
0x686	0x68e
0x69b	0x6a3
0x6d4	0x6dc
0x6e9	0x6f1
0x707	0x70f
0x71c	0x724
0x732	0x73a
0x752	0x75a
0x772	0x77a
0x787	0x78f
0x7a7	0x7af
0x7bd	0x7c5
0x7dd	0x7e5
0x823	0x82b
0x839	0x841
0x859	0x861
0x3ac1	0x3acf
0x34	0x3f
0x4a	0x55
0x55	0x60
0x6b	0x76
0x86	0x91
0x91	0x9c
0x9c	0xa7
0xa7	0xb2
0xb2	0xbd
0xcd	0xd8
0xe3	0xee
0xee	0xf9
0xf9	0x104
0x104	0x10f
0x11f	0x12a
0x12a	0x135
0x135	0x140
0x140	0x14b
0x15b	0x166
0x166	0x171
0x171	0x17c
0x17c	0x187
0x187	0x192
0x192	0x19d
0x19d	0x1a8
0x1b8	0x1c3
0x1c3	0x1ce
0x1ce	0x1d9
0x1d9	0x1e4
0x1e4	0x1ef
0x1ff	0x20a
0x20a	0x215
0x215	0x220
0x220	0x22b
0x22b	0x236
0x236	0x241
0x251	0x25c
0x25c	0x267
0x267	0x272
0x272	0x27d
0x2db2	0x2dc2
0x2df5	0x2e06
0x39adB0x2992	0x39b6B0x2992
0x3991B0x2992	0x399aB0x2992
0x38c2B0x299	0x38d0B0x299
0x39adB0x57bd1	0x39b6B0x57bd1
0x3991B0x57bd1	0x399aB0x57bd1
0x38c2B0x388	0x38d0B0x388
0x38c2B0x41c	0x38d0B0x41c
0x38c2B0x494	0x38d0B0x494
0x38c2B0x606	0x38d0B0x606
0x38c2B0x672	0x38d0B0x672
0x39adB0x581e3	0x39b6B0x581e3
0x3991B0x581e3	0x399aB0x581e3
0x38c2B0x73e	0x38d0B0x73e
0x38c2B0x7c9	0x38d0B0x7c9
0x391bB0x3a23	0x3924B0x3a23
0x391bB0x394b	0x3924B0x394b
0x3b6dB0x384f	0x3b7eB0x384f
0x3b6dB0x385a	0x3b7eB0x385a
0x93b0x8d0B0x2bb	0x94f0x8d0B0x2bb
0x9120x8d0B0x2bb	0x91a0x8d0B0x2bb
0x90b0x8d0B0x2bb	0x9120x8d0B0x2bb
0x387bB0x2e6	0x388aB0x2e6
0x3b6dB0x388eB0x2e6	0x3b7eB0x388eB0x2e6
0x38a7B0x3fc	0x38b5B0x3fc
0x37b2B0x38b9B0x3fc	0x37beB0x38b9B0x3fc
0x387bB0x45e	0x388aB0x45e
0x3b6dB0x388eB0x45e	0x3b7eB0x388eB0x45e
0x38dbB0x4b4	0x38eaB0x4b4
0x37b2B0x38eeB0x4b4	0x37beB0x38eeB0x4b4
0x37c7B0x4d4	0x37d5B0x4d4
0x3b6dB0x37d9B0x4d4	0x3b7eB0x37d9B0x4d4
0x37c7B0x54b	0x37d5B0x54b
0x3b6dB0x37d9B0x54b	0x3b7eB0x37d9B0x54b
0x37c7B0x5cd	0x37d5B0x5cd
0x3b6dB0x37d9B0x5cd	0x3b7eB0x37d9B0x5cd
0x37c7B0x63c	0x37d5B0x63c
