0x9b5	0x2986	0	Regular
0x2ad3B0x28bf	0x2986	0	Regular
0x2ad3B0xbc5	0x2986	0	Regular
0x2ad3B0xbf1	0x2986	0	Regular
0x2ad3B0x2bfd	0x2986	0	Regular
0x2ad3B0x2e64	0x2986	0	Regular
0x2ad3B0x2eac	0x2986	0	Regular
0x2ad3B0x2f66	0x2986	0	Regular
0x2ad3B0xbd3db	0x2986	0	Regular
0x2ad3B0x2fb7	0x2986	0	Regular
0x2ad3B0xbd400	0x2986	0	Regular
0x2ad3B0x3426	0x2986	0	Regular
0x2ad3B0x3458	0x2986	0	Regular
0x2ad3B0x354c	0x2986	0	Regular
0x2ad3B0x35f5	0x2986	0	Regular
0x2ad3B0x3627	0x2986	0	Regular
0x2ad3B0x3668	0x2986	0	Regular
0x2ad3B0x378e	0x2986	0	Regular
0x1ee3B0x76d	0x2986	0	Regular
