0x177f	0x17a2
0x231d	0x7f4dd
0x8910x25b9	0x8a50x25b9
0x1223B0x5bb	0x7f1d0B0x5bb
0x18e5B0x6b1	0x7f369B0x6b1
0xddeB0x458	0x7f11eB0x458
0x14a2B0x649	0x7f261B0x649
