0xfa	0x6fdde03
0x17d	0x9260db7
0x1bf	0x95ea7b3
0x225	0x18160ddd
0x243	0x23b872dd
0x2c9	0x313ce567
0x2ed	0x33393efa
0x33b	0x70a08231
0x393	0x95d89b41
0x416	0x9d118770
0x444	0xa9059cbb
0x4aa	0xc5ac0ded
0x4c8	0xdd62ed3e
0x540	0xdf401a96
0x5a6	0xe5981a42
0x32fe	0x00000000
