0x1bf	0x7ba
0x243	0x9d9
0x243	0xa92
0x243	0xaad
0x243	0xbbc
0x2ed	0xe43S0x303
0x444	0x108a
0x444	0x111f
0x444	0x113a
0x540	0x13e8
0x5a6	0x161d
0x17c7	0x183b
0x17c7	0x18d0
