0x0	__function_selector__
0xfa	name()
0x17d	cut(uint256)
0x1bf	approve(address,uint256)
0x225	totalSupply()
0x243	transferFrom(address,address,uint256)
0x2c9	decimals()
0x2ed	destroyFrom(address,uint256)
0x33b	balanceOf(address)
0x393	symbol()
0x416	destroy(uint256)
0x444	transfer(address,uint256)
0x4aa	basePercent()
0x4c8	allowance(address,address)
0x540	downAllowance(address,uint256)
0x5a6	upAllowance(address,uint256)
0x60c	0x60c
0x6ae	0x6ae
0xcac	0xcac
0xe9b	0xe9b
0xf3d	0xf3d
0x1709	0x1709
0x1744	0x1744
0x177b	0x177b
0x1794	0x1794
0x17ab	0x17ab
0x17c7	0x17c7
0x32fe	()
0x32fe	fallback()
