0x0	__function_selector__
0x133	()
0x133	fallback()
0x4d1	name()
0x561	approve(address,uint256)
0x5c6	totalSupply()
0x5f1	transferFrom(address,address,uint256)
0x676	DepositEther()
0x680	decimals()
0x6b7	cap()
0x6e2	tokensSold()
0x70d	decreaseApproval(address,uint256)
0x772	balanceOf(address)
0x7c9	startIco()
0x7e0	contractBalance()
0x80b	owner()
0x862	finalizeIco()
0x879	symbol()
0x909	transfer(address,uint256)
0x96e	remainingTokens()
0x999	basePrice()
0x9c4	tokenReserve()
0x9ef	increaseApproval(address,uint256)
0xa54	WithdrawEther(address,uint256)
0xaa1	allowance(address,address)
0xb18	transferOwnership(address)
0xb5b	0xb5b
0xb93	0xb93
0xba9	0xba9
0xbc5	0xbc5
0x15d8	0x15d8
0x1ae0	0x1ae0
0x1e07	0x1e07
